PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,YEAR,DATE_COL,AGGR_ECO9_2015,SAMPLE_TYPE,LRBS_USE,BEDSED_COND,L_XFC_NAT,INSTRMCVR_COND,L_XCMGW,RIPVEG_COND,W1_HALL,RIPDIST_COND
9/2/2015,10000,FW08KS001,1,2008,5-Aug-08,SPL,PHAB,-2.330207127,Fair,-0.262518213,Good,0.034063028,Good,0.575772727,Medium
9/2/2015,10001,FW08KS003,1,2008,11-Aug-08,SPL,PHAB,-2.611335014,Poor,-0.469102078,Good,0.013507506,Good,0.515159091,Medium
9/2/2015,10002,FW08KS005,1,2008,22-Jul-08,TPL,PHAB,-3.797862833,Poor,-0.404403583,Good,-0.125070361,Good,0.515168182,Medium
9/2/2015,10003,FW08KS006,1,2008,12-Aug-08,SPL,PHAB,-1.58617579,Fair,-0.042044616,Good,-0.110825675,Good,0.393945455,Medium
9/2/2015,10004,FW08KS012,1,2008,15-Jul-08,TPL,PHAB,-0.858966166,Good,-0.633152719,Good,-0.326643925,Fair,1.483766234,Medium
9/2/2015,10006,FW08KS036,1,2008,25-Aug-08,SPL,PHAB,-3.155761472,Poor,-0.044224814,Good,0.034519076,Good,0.727309091,Medium
9/2/2015,10007,FW08KS039,1,2008,8-Jul-08,TPL,PHAB,-1.134820818,Fair,-0.145970139,Good,-0.030245324,Good,0.6667,Medium
9/2/2015,10060,FW08LA011,1,2008,16-Jul-08,CPL,PHAB,-1.031312876,Good,-0.5315184,Fair,0.074550492,Good,0.272727273,Low
9/2/2015,10109,FW08DE002,1,2008,20-Aug-08,CPL,PHAB,-1.380670975,Good,-0.271646218,Good,-0.384701403,Poor,0,Low
9/2/2015,10828,FW08KS033,1,2008,29-Jul-08,SPL,PHAB,-2.099941947,Fair,-0.032366943,Good,0.103881433,Good,0.8788,Medium
9/2/2015,10829,FW08DE001,2,2008,3-Sep-08,CPL,PHAB,-1.740727389,Fair,-0.345911009,Good,-0.438248312,Poor,0.030304545,Low
9/2/2015,10842,FW08DE013,1,2008,13-Aug-08,CPL,PHAB,0.391287852,Good,-0.749136614,Poor,-0.602454985,Poor,1.227272727,Medium
