PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,DATE_COL,YEAR,LAT_DD83,LON_DD83,SITE_CLASS,VALXSITE,USE_NRSA,XLAT_DD,XLON_DD,STRAHLERORDER,GREAT_RIVER,FW_ECO3,FW_ECO9,ECO10,PROTOCOL,REACHLEN,IP_SCORE,LTMXSIZE,LTMXSPP,CONSTRAINT,CONPATTERN,LDCBF_G08,LRBS_G08,LDMB_BW5,LRBS_BW5,LSUB_DMM,LSUB_DMM_NOR,PCT_BDRK,PCT_BIGR,PCT_HP,PCT_FN,PCT_SAFN,PCT_SFGF,PCT_SFG,PCT_DR,PCT_DRS,PCT_FAST,PCT_SLOW,PCT_SIDE,RP100,XBKF_H,XBKF_W,XSLOPE,XINC_H,XWD_RAT,XDEPTH_CM,XWIDTH,XWXD,SDDEPTH_CM,SDWIDTH,SDWXD,BFWD_RAT,SINU,V1WM100,V1W_MSQ,W1H_CROP,W1H_WALL,W1_HAG,W1_HALL,W1_HNOAG,XEMBED,XFC_ALG,XFC_AQM,XFC_LWD,XFC_NAT,XCDENBK,XCDENMID,XC,XCL,XCMGW,XCMG,XGB,XGH,XGW,BANGMODE,PCT_BH,PCT_SIDE.1,XSHOR2VG,LITSB1_FN,LITSB1_SF,LITSB1_SFGF,LITSB12_FN,LITSB12_SF,QRVEG1,QR1,RDIST1,CVDTH,RPRAT,CVWIDTH,CVWXD,LWDEQVOL_MSQ,LWDEQVOLM100,PHAB_COM
2/3/2015,10000,FW08KS001,1,5-Aug-08,2008,39.01490805,-98.01046463,PROB,WADEABLE,YES,39.01489,98.01056,2nd,,PLNLOW,SPL,,WADEABLE,163.9,0,X,Poplar/Cottonwood,CON_BROAD,SINGLE,2.225500479,-2.330207127,1.709181117,-1.813887765,-0.104706648,-0.104706648,0,19.04761905,0,41.9047619,41.9047619,80.95238095,86.66666667,0,,24.66666667,75.33333333,0,9.440386615,2.263636364,7.590909091,0.323319707,8.681818182,22.23937606,17.19333333,2.2525,0.37305,11.33071887,0.843781432,0.310598823,3.080830777,1.361993024,11.33129957,0.014927461,0.3485,0,0.575772727,0.575772727,0,60.54545455,0,0,0.05,0.536363636,94.9197861,89.57219251,0.703409091,0.267045455,1.071590909,1.730681818,0.256818182,0.436363636,0.153409091,,0,0,,,,,,,0.582215909,0.706461466,0.365390717,0.659018159,0.549072506,0.37459775,0.832593012,0.014134952,10.72971324,
2/3/2015,10001,FW08KS003,1,11-Aug-08,2008,37.3952849,-98.92627961,PROB,WADEABLE,YES,37.39529,98.92609,3rd,,PLNLOW,SPL,PL-RANGE,WADEABLE,,0.272727273,X,Poplar/Cottonwood,UNC_BROAD,SINGLE,,,,,-0.402648217,-0.402648217,0,0,0,0,95.23809524,100,100,0,,0,100,16,3.835185376,1.381818182,9.172727273,0.427216,1.690909091,29.45944435,18.82,4.985,0.96615,5.777665112,1.473011595,0.624212285,6.000397129,2.000395,,,0,0,0.4394,0.515159091,0.075759091,97.81818182,0.027272727,0.027272727,0.009090909,0.329545455,52.94117647,54.54545455,0.670454545,0.228409091,1.021590909,1.893181818,0.085227273,0.536363636,0.151136364,,0,16,,,,,,,0.559715909,0.597166619,0.3400033,0.306996021,,0.295488785,0.646082166,,,
2/3/2015,10002,FW08KS005,1,22-Jul-08,2008,38.19892655,-95.42768365,PROB,WADEABLE,YES,38.19898,95.42765,2nd,,PLNLOW,TPL,,WADEABLE,178.2,0,X,Maple/Boxelder,CON_BROAD,SINGLE,1.893571278,-3.797862833,1.651449009,-3.555740564,-1.904291555,-1.904291555,0,5.714285714,0,94.28571429,94.28571429,94.28571429,100,0,,18,82,0,12.28462391,1.963636364,8.745454545,0.323156398,2.1,32.0598096,18.75,3.29,0.7035,15.09925077,1.657169432,0.882250024,4.672922317,1.321487002,1.600448934,0.001830035,0.121218182,0,0.272740909,0.515168182,0.242427273,92.90909091,0,0.004545455,0.004545455,0.384090909,87.96791444,84.35828877,0.540909091,0.269318182,0.739772727,1.929545455,0.056818182,0.653409091,0.036363636,,0,0,,,,,,,0.432897727,0.63394206,0.34000726,0.805293374,0.655179942,0.503698915,1.254086744,0.000825184,0.721661055,
2/3/2015,10003,FW08KS006,1,12-Aug-08,2008,37.47701976,-98.36534065,PROB,WADEABLE,YES,37.47713,98.36481,3rd,,PLNLOW,SPL,,WADEABLE,227.7,0,X,Unknown or Other Deciduous,UNC_BROAD,SINGLE,1.125766413,-1.58617579,0.843637643,-1.30404702,-0.460409377,-0.460409377,0,0,0,0,100,100,100,0,,0,100,0,12.02396211,0.754545455,6.790909091,0.126200811,2.081818182,17.45988369,38.41,6.47,2.61855,12.6123997,1.121136641,0.952058572,7.144641727,3.296658477,71.77470356,0.105692335,0.227277273,0,0.393945455,0.393945455,0,100,0,0,0.097727273,0.897727273,97.05882353,93.18181818,0.651136364,0.305681818,0.764772727,1.7875,0.084090909,0.675,0.025,,0,0,,,,,,,0.444147727,0.676929718,0.282611815,0.328362398,0.313042492,0.173282325,0.363582353,0.104717097,71.11242863,
2/3/2015,10004,FW08KS012,1,15-Jul-08,2008,37.78662431,-96.42997007,PROB,WADEABLE,YES,37.78643,96.42996,4th,,PLNLOW,TPL,,WADEABLE,435.6,0,X,Maple/Boxelder,CON_BROAD,SINGLE,1.509496377,-0.858966166,1.31974573,-0.669215519,0.650530211,0.5592936,2.857142857,51.42857143,0,26.66666667,27.61904762,48.57142857,68.57142857,0,,24,76,7.070707071,37.76741401,1.536363636,15.80909091,0.168503911,2.445454545,20.88859028,65.09,10.08,7.16955,41.08308777,4.274723752,6.331913716,8.432669641,1.340770752,0.444214876,0.000280987,0,0,1.340909091,1.483766234,0.142857143,59.54545455,0.004545455,0.259090909,0,0.222727273,40.90909091,30.0802139,0.228409091,0.084090909,0.461363636,1.426136364,0.103409091,0.703409091,0.135227273,,2.857142857,7.070707071,,,,,,,0.307613636,0.387052434,0.597385621,0.631173572,0.580233738,0.424079737,0.883167523,0.000171496,0.271120294,
2/3/2015,10006,FW08KS036,1,25-Aug-08,2008,37.99322599,-99.32134205,PROB,WADEABLE,YES,37.99322,99.32134,7th,,PLNLOW,SPL,,WADEABLE,148.5,1,X,Poplar/Cottonwood,UNC_BROAD,SINGLE,1.044837098,-3.155761472,1.01306648,-3.123990855,-2.110924375,-2.110924375,0,0,0,100,100,100,100,0,,0,100,0,4.949646258,1.081818182,11.11818182,0.157374103,1.081818182,69.68871573,9.39,4.515,0.4335,6.381626087,2.032699786,0.390192463,10.6463557,1.128607277,94.64646465,0.085127646,0,0,0.6667,0.727309091,0.060609091,100,0.361363636,0.581818182,0.004545455,0.893181818,51.87165775,17.37967914,0.454545455,0.070454545,1.072727273,2.107954545,0.015909091,0.607954545,0.218181818,,0,0,,,,,,,0.582727273,0.576129148,0.42106482,0.679619392,0.527118877,0.450210362,0.900097953,0.084389934,93.82626263,
2/3/2015,10007,FW08KS039,1,8-Jul-08,2008,39.01570904,-95.84061299,PROB,INTWADE,YES,39.01571,95.84103,1st,,PLNLOW,TPL,,WADEABLE,148.5,0,X,Poplar/Cottonwood,UNC_BROAD,SINGLE,1.784157829,-1.134820818,1.619900398,-0.970563386,0.649337011,0.558065306,2.857142857,58.0952381,0,33.33333333,33.33333333,41.9047619,51.42857143,8,,14,78,0,17.08977939,1.186363636,7.175454545,0.543228659,1.381818182,22.10042026,22.97,3.0375,0.86585,17.56687367,1.447218294,0.81038654,5.545417064,1.238100251,44.8976431,0.062571148,0,0,0.6667,0.6667,0,53,0.004545455,0,0.022727273,0.704545455,83.68983957,86.63101604,0.455681818,0.231818182,0.922727273,1.686363636,0.160227273,0.686363636,0.323863636,,2.857142857,0,,,,,,,0.515227273,0.641306345,0.400012,0.764774648,0.744004327,0.476450467,0.935943339,0.061700241,44.27272727,
2/3/2015,10060,FW08LA011,1,16-Jul-08,2008,32.97480157,-92.07643968,PROB,BOATABLE,YES,32.97472222,92.07638889,7th,,PLNLOW,CPL,,BOATABLE,3505.700228,0,L,Unknown or Other Deciduous,CON_BROAD,SINGLE,-0.173446402,-1.031312876,-0.373693528,-0.83106575,-1.204759278,,,,,45.09803922,100,,100,0,0,0,100,0.980392157,92.93053942,0.4,94.54545455,0.001258317,1.927272727,17.91513534,544.1176471,91.81818182,503.3888889,98.30597759,5.344495894,88.92127761,17.33335037,1.406638035,2.379545455,0.002379545,0,0,0,0.272727273,0.272727273,,0.084090909,0.009090909,0.040909091,0.284090909,76.06951872,,0.429545455,0.328409091,1.177272727,1.543181818,0.430681818,0.345454545,0.093181818,med-stp,0,0.980392157,1.636363636,36.36363636,100,100,45.45454545,95.45454545,0.629772727,0.729519665,0.214285714,0.180670445,17.07912616,0.058207381,0.176645293,0.002379545,6.662727273,
2/3/2015,10109,FW08DE002,1,20-Aug-08,2008,38.54260151,-75.5231013,PROB,BOATABLE,YES,38.545,75.52611111,4th,,PLNLOW,CPL,,BOATABLE,213.1546687,0,X,Cedar/Cypress/Sequoia,UNC_BROAD,SINGLE,0.734113455,-1.380670975,0.613788427,-1.260345948,-0.646557521,,,,,13,97,,99,0,0,0,100,6,35.61671259,1.027272727,8.636363636,0.048323041,1.686363636,8.96547619,60,6.281818182,4.406,23.05023061,2.640764352,2.345758347,4.795419495,1.053731456,14.80727273,0.014807273,0,0,0,0,0,,0,0,0.072727273,0.525,94.11764706,,0.29047619,0.233333333,0.402380952,1.167857143,0.260714286,0.58452381,0.054761905,med,0,6,1.727272727,18.18181818,81.81818182,81.81818182,31.81818182,68.18181818,0.281071429,0.643276795,0,0.38417051,59.36118765,0.420382169,0.532400896,0.014807273,62.78454545,
2/3/2015,10828,FW08KS033,1,29-Jul-08,2008,37.97450198,-101.7879598,PROB,WADEABLE,YES,37.9748,101.78792,7th,,PLNLOW,SPL,PL-NCULT,WADEABLE,633.6,1,L,Poplar/Cottonwood,UNC_BROAD,SINGLE,1.170957279,-2.099941947,0.871613246,-1.800597915,-0.928984668,-0.928984668,0,0.952380952,0,29.52380952,99.04761905,99.04761905,100,0,,0,100,0,15.80953583,1.318181818,22.45454545,0.058638682,1.254545455,30.28338111,69.36,18.585,12.0299,14.76723099,2.030368128,2.910809381,11.76363776,1.118454221,1.426609848,0.000635332,0,0,0.8788,0.8788,0,100,0,0.379545455,0.061363636,0.918181818,78.87700535,0,0.586363636,0.038636364,1.260227273,1.940909091,0.025,0.430681818,0.234090909,,0,0,,,,,,,0.667102273,0.660054577,0.467745369,0.212907021,0.227934484,0.10924768,0.241964553,0.000419267,0.941445707,
