"DATA_COLUMN"	"SAMPLE_TYPE"	"LABEL_BOATABLE"	"LABEL_WADEABLE"
"SITE_ID"	""	"Site identification code"	"Site identification code"
"DATE_COL"	""	"Date of field collection"	"Date of field collection"
"VISIT_NO"	""	"Visit number for that year"	"Visit number for that year"
"XLAT_DD"	""	"X-site GPS latitude decimal degrees"	"X-site GPS latitude decimal degrees"
"XLON_DD"	""	"X-site GPS longitude decimal degrees"	"X-site GPS longitude decimal degrees"
"SITE_CLASS"	""	"Site class (NAWQA, PROB, HAND)"	"Site class (NAWQA, PROB, HAND)"
"VALXSITE"	""	"X-site sampling status sub-category"	"X-site sampling status sub-category"
"USE_NRSA"	""	"Use visit in NRSA population estimates"	"Use visit in NRSA population estimates"
"LAT_DD83"	""	"Nominal latitude in decimal degrees"	"Nominal latitude in decimal degrees"
"LON_DD83"	""	"Nominal longitude in decimal degrees"	"Nominal longitude in decimal degrees"
"STRAHLERORDER"	""	"Strahler stream order from RF3 stream data"	"Strahler stream order from RF3 stream data"
"YEAR"	""	"Sampling year"	"Sampling year"
"FW_ECO3"	""	"Three climatic regions of the US used in WSA in indicator development: Eastern Highlands, West, and Plains and Lowlands"	"Three climatic regions of the US used in WSA in indicator development: Eastern Highlands, West, and Plains and Lowlands"
"FW_ECO9"	""	"Aggregated level 3 ecoregions used in WSA"	"Aggregated level 3 ecoregions used in WSA"
"GREAT_RIVER"	""	"Great river site"	"Great river site"
"UID"	""	"Unique site visit ID"	"Unique site visit ID"
"BANGMODE"	"BANK MORPHOLOGY"	"Mode of bank slope category (Zar 1984)"	
"BFWD_RAT"	"CHANNEL MORPHOLOGY"	"Bankfull Width/Depth Ratio"	"Bankfull Width/Depth Ratio"
"CONPATTERN"	"CHANNEL CHARACTERISTICS"	"Channel pattern"	"Channel pattern"
"CONSTRAINT"	"CHANNEL CHARACTERISTICS"	"Channel constraint type"	"Channel constraint type"
"CVDTH"	"INTERPRETATION"	"CV of thalweg depth (SDDEPTH/XDEPTH)"	"CV of thalweg depth (SDDEPTH/XDEPTH)"
"CVWIDTH"	"INTERPRETATION"	"CV of Wetted Width (SDWIDTH/XWidth)"	"CV of Wetted Width (SDWIDTH/XWidth)"
"CVWXD"	"INTERPRETATION"	"CV of Width Depth Product (SDWXD/XWXD)"	"CV of Width Depth Product (SDWXD/XWXD)"
"IP_SCORE"	"INVASIVE SPECIES"	"Invasive plants sum of frequencies of occurrence"	"Invasive plants sum of frequencies of occurrence"
"LDCBF_G08"	"SUBSTRATE CHARACTERIZATION"	"Log10(Streambed Critical Diameter-at Bankfull -- mm)(PRK 2008)"	"Log10(Streambed Critical Diameter-at Bankfull -- mm)(PRK 2008)"
"LDMB_BW5"	"BED STABILITY"	"Log10(Streambed Critical Diameter-at Bankfull - mm) (PRK 1999)"	"Log10(Streambed Critical Diameter-at Bankfull - mm) (PRK 1999)"
"LITSB1_FN"	"INTERPRETATION"	"Littoral Dominant % Substrate Fines (<0.06mm)"	
"LITSB1_SF"	"INTERPRETATION"	"Littoral Dominant % Substrate Sand or Fines (<2.0mm)"	
"LITSB1_SFGF"	"INTERPRETATION"	"Littoral Dominant % Substrate <16mm diameter"	
"LITSB12_FN"	"INTERPRETATION"	"Littoral Dominant or Subdominant % Substrate Fines (<0.06mm)"	
"LITSB12_SF"	"INTERPRETATION"	"Littoral Dom. or Subdom. % Substrate Sand or Fines (<2.0mm)"	
"LRBS_BW5"	"BED STABILITY"	"Log10(Relative Bed Stability (Dgm/Dcb) (PRK 1999)"	"Log10(Relative Bed Stability (Dgm/Dcb) (PRK 1999)"
"LRBS_G08"	"BED STABILITY"	"Log10(Relative Bed Stability (Dgm/Dcb) (PRK 2008)"	"Log10(Relative Bed Stability (Dgm/Dcb) (PRK 2008)"
"LSUB_DMM"	"SUBSTRATE CHARACTERIZATION"	"Log10(Dgm--Geometric Mean Bed Surface Particle Diameter--mm))"	"Log10(Dgm--Geometric Mean Bed Surface Particle Diameter--mm))"
"LSUB_DMM_NOR"	"SUBSTRATE CHARACTERIZATION"	"Log10(Dgm--Geom.Mean Bed Surf.Part Diam,exclud Bdrk+hardpan--mm)"	"Log10(Dgm--Geom.Mean Bed Surf.Part Diam,exclud Bdrk+hardpan--mm)"
"LTMXSIZE"	"LEGACY TREES"	"Legacy largest tree size class (SMLX)"	"Legacy largest tree size class (SMLX)"
"LTMXSPP"	"LEGACY TREES"	"Legacy largest tree species"	"Legacy largest tree species"
"LWDEQVOL_MSQ"	"INTERPRETATION"	"Wood Vol (m3/m2 in area fished in littoral)"	"Wood Vol (m3/m2 in area fished in reach)"
"LWDEQVOLM100"	"INTERPRETATION"	"Wood Vol (m3) per 100m channel"	"Wood Vol (m3) per 100m channel"
"PCT_BDRK"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface % Bedrock"	"Bed Surface % Bedrock"
"PCT_BH"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface % Bedrock + Hardpan"	"Bed Surface % Bedrock + Hardpan"
