"DATA_COLUMN"	"SAMPLE_TYPE"	"LABEL_BOATABLE"	"LABEL_WADEABLE"
"SITE_ID"	""	"Site identification code"	"Site identification code"
"DATE_COL"	""	"Date of field collection"	"Date of field collection"
"VISIT_NO"	""	"Visit number for that year"	"Visit number for that year"
"XLAT_DD"	""	"X-site GPS latitude decimal degrees"	"X-site GPS latitude decimal degrees"
"XLON_DD"	""	"X-site GPS longitude decimal degrees"	"X-site GPS longitude decimal degrees"
"SITE_CLASS"	""	"Site class (NAWQA, PROB, HAND)"	"Site class (NAWQA, PROB, HAND)"
"VALXSITE"	""	"X-site sampling status sub-category"	"X-site sampling status sub-category"
"USE_NRSA"	""	"Use visit in NRSA population estimates"	"Use visit in NRSA population estimates"
"LAT_DD83"	""	"Nominal latitude in decimal degrees"	"Nominal latitude in decimal degrees"
"LON_DD83"	""	"Nominal longitude in decimal degrees"	"Nominal longitude in decimal degrees"
"STRAHLERORDER"	""	"Strahler stream order from RF3 stream data"	"Strahler stream order from RF3 stream data"
"YEAR"	""	"Sampling year"	"Sampling year"
"FW_ECO3"	""	"Three climatic regions of the US used in WSA in indicator development: Eastern Highlands, West, and Plains and Lowlands"	"Three climatic regions of the US used in WSA in indicator development: Eastern Highlands, West, and Plains and Lowlands"
"FW_ECO9"	""	"Aggregated level 3 ecoregions used in WSA"	"Aggregated level 3 ecoregions used in WSA"
"GREAT_RIVER"	""	"Great river site"	"Great river site"
"UID"	""	"Unique site visit ID"	"Unique site visit ID"
"BANGMODE"	"BANK MORPHOLOGY"	"Mode of bank slope category (Zar 1984)"	
"BFWD_RAT"	"CHANNEL MORPHOLOGY"	"Bankfull Width/Depth Ratio"	"Bankfull Width/Depth Ratio"
"C1TM100"	"LARGE WOODY DEBRIS"	"LWD in/above wet chan(#/100m-all sizes)"	"LWD in/above Bkfl chan(#/100m-all sizes)"
"C1WM100"	"LARGE WOODY DEBRIS"	"Woody Debris pieces/100m"	"Woody Debris pieces/100m"
"C2TM100"	"LARGE WOODY DEBRIS"	"LWD in/above wetted chan(#/100m-SMLX)"	"LWD in/above Bkfl chan (#/100m-SMLX)"
"C2WM100"	"LARGE WOODY DEBRIS"	"LWD in wetted chnl (#/100m-SMLX)"	"LWD in Bkf chnl (#/100m-SMLX)"
"C4TM100"	"LARGE WOODY DEBRIS"	"LWD in/above wetted chan (#/100m-LX)"	"LWD in/above Bkfl chan (#/100m-LX)"
"C4WM100"	"LARGE WOODY DEBRIS"	"LWD in wetted chnl (#/100m-LX)"	"LWD in Bkf chnl (#/100m-LX)"
"CONBANKFULL"	"CHANNEL CHARACTERISTICS"	"Site bankfull width"	"Site bankfull width"
"CONFEATURES"	"CHANNEL CHARACTERISTICS"	"Constraining features"	"Constraining features"
"CONPATTERN"	"CHANNEL CHARACTERISTICS"	"Channel pattern"	"Channel pattern"
"CONPERCENT"	"CHANNEL CHARACTERISTICS"	"Percent of channel length in contact with constraining features"	"Percent of channel length in contact with constraining features"
"CONSTRAINT"	"CHANNEL CHARACTERISTICS"	"Channel constraint type"	"Channel constraint type"
"CONVALLEY"	"CHANNEL CHARACTERISTICS"	"Valley width, estimated"	"Valley width, estimated"
"CONVALLEYBOX"	"CHANNEL CHARACTERISTICS"	"Valley boarders not seen"	"Valley boarders not seen"
"CP3_MILL"	"BED STABILITY"	"Hydraulic resistance due to bed particles at bank full"	"Hydraulic resistance due to bed particles at bank full"
"CP3CTRPWD_RAT"	"BED STABILITY"	"Ratio of particle to total hydraulic resistances at bank full, not allowed to exceed 1"	"Ratio of particle to total hydraulic resistances at bank full, not allowed to exceed 1"
"CT_RPWD"	"BED STABILITY"	"Hydraulic resistance, total at bank full"	"Hydraulic resistance, total at bank full"
"CVDTH"	"INTERPRETATION"	"CV of thalweg depth (SDDEPTH/XDEPTH)"	"CV of thalweg depth (SDDEPTH/XDEPTH)"
"CVWIDTH"	"INTERPRETATION"	"CV of Wetted Width (SDWIDTH/XWidth)"	"CV of Wetted Width (SDWIDTH/XWidth)"
"CVWXD"	"INTERPRETATION"	"CV of Width Depth Product (SDWXD/XWXD)"	"CV of Width Depth Product (SDWXD/XWXD)"
"F_NONE"	"INVASIVE SPECIES"	""	""
"IP_SCORE"	"INVASIVE SPECIES"	"Invasive plants sum of frequencies of occurrence"	"Invasive plants sum of frequencies of occurrence"
"L_CP3_MILL"	"INTERPRETATION"	"Log10(Hydraulic resistance due to bed particles at bank full)"	"Log10(Hydraulic resistance due to bed particles at bank full)"
"L_CT_RPWD"	"INTERPRETATION"	"Log10(Hydraulic resistance, total at bank full)"	"Log10(Hydraulic resistance, total at bank full)"
"L_RB3"	"INTERPRETATION"	"Log10(Hydraulic radius of channel at bank full)"	"Log10(Hydraulic radius of channel at bank full)"
"L_REYP3"	"INTERPRETATION"	"Log10(Particle Reynolds number at bank full)"	"Log10(Particle Reynolds number at bank full)"
